,Datos,X(intentos totales),Mano dominante ,Altura del saque ,Tiempo del saque
,1,4,Mano Izquierda ,Arriba de la Cintura,"2,40"
,2,7,Mano Izquierda ,Arriba de la Cintura,"2,30"
,3,6,Mano Izquierda ,Arriba de la Cintura,"2,33"
,4,7,Mano Izquierda ,Arriba de la Cintura,"2,54"
,5,11,Mano Izquierda ,Arriba de la Cintura,"2,29"
,6,6,Mano Izquierda ,Arriba de la Cintura,"2,31"
,7,27,Mano Izquierda ,Arriba de la Cintura,"2,23"
,8,11,Mano Izquierda ,Arriba de la Cintura,"2,43"
,9,6,Mano Izquierda ,Arriba de la Cintura,"1,95"
,10,11,Mano Izquierda ,Arriba de la Cintura,"1,88"
,11,8,Mano Izquierda ,Arriba de la Cintura,"2,00"
,12,13,Mano Izquierda ,Arriba de la Cintura,"2,11"
,13,10,Mano Izquierda ,Arriba de la Cintura,"1,58"
,14,5,Mano Izquierda ,Arriba de la Cintura,"1,65"
,15,7,Mano Izquierda ,Arriba de la Cintura,"1,69"
,16,9,Mano Izquierda ,Arriba de la Cintura,"2,13"
,17,6,Mano Izquierda ,Arriba de la Cintura,"2,28"
,18,11,Mano Izquierda ,Arriba de la Cintura,"1,93"
,19,9,Mano Izquierda ,Arriba de la Cintura,"1,72"
,20,7,Mano Izquierda ,Arriba de la Cintura,"1,89"
,21,10,Mano Izquierda ,Arriba de la Cintura,"1,93"
,22,9,Mano Izquierda ,Arriba de la Cintura,"1,66"
,23,16,Mano Izquierda ,Arriba de los Hombros,"1,76"
,24,9,Mano Izquierda ,Arriba de la Cintura,"2,28"
,25,12,Mano Izquierda ,Arriba de la Cintura,"2,40"
,26,9,Mano Izquierda ,Arriba de la Cintura,"2,34"
,27,5,Mano Izquierda ,Arriba de la Cintura,"2,25"
,28,10,Mano Izquierda ,Arriba de la Cintura,"2,19"
,29,8,Mano Izquierda ,Arriba de la Cintura,"2,25"
,30,9,Mano Izquierda ,Arriba de la Cintura,"2,36"
,31,8,Mano Izquierda ,Arriba de la Cintura,"2,10"
,32,4,Mano Izquierda ,Arriba de los Hombros,"2,25"
,33,9,Mano Izquierda ,Arriba de los Hombros,"2,47"
,34,10,Mano Izquierda ,Arriba de los Hombros,"1,33"
,35,5,Mano Izquierda ,Arriba de los Hombros,"1,67"
,36,8,Mano Izquierda ,Arriba de los Hombros,"2,63"
,37,6,Mano Izquierda ,Arriba de los Hombros,"2,22"
,38,6,Mano Izquierda ,Arriba de los Hombros,"2,28"
,39,15,Mano Izquierda ,Arriba de los Hombros,"2,17"
,40,20,Mano Izquierda ,Arriba de los Hombros,"2,19"
,41,12,Mano Izquierda ,Arriba de los Hombros,"1,80"
,42,7,Mano Izquierda ,Arriba de los Hombros,"1,62"
,43,13,Mano Izquierda ,Arriba de los Hombros,"1,67"
,44,9,Mano Izquierda ,Arriba de los Hombros,"1,71"
